site,LIC,MPC,LC,YTM,CRP,HB,CFB,NDVI1,NDVI7,Rough,River,Road,Resd,Crop,HFI,group
M5m9,0,0,0,0,0,0,0,6015,8687,146,500,1000,7810.25,5385.165,740,in
M5m9b,0,0,0,1,64,0,0,6756,8518,190,500,1414.214,8514.693,5147.815,563,in
M5n0,0,0,29,16,59,6,0,6015,8627,146,500,1000,7810.25,5385.165,740,in
M5n1,0,0,0,0,1,0,0,6462,8588,397,1000,500,6519.203,5408.327,870,in
M6m7,0,0,0,0,0,0,0,5620,8958,222,1000,0,8602.325,7211.103,736,in
M6m8,0,1,2,0,7,0,0,5735,8860,308,0,500,7500,7071.068,805,in
M6m9,0,0,17,1,21,0,0,5954,8588,305,707.1068,1000,7071.068,6324.555,723,in
M6n0,0,0,0,0,0,0,0,5830,8687,413,1118.034,500,6726.812,6184.658,688,in
M6n1,0,0,5,1,13,0,0,6233,8291,383,1414.214,0,6800.735,5590.17,1031,in
M7m6,0,2,1,0,0,0,0,5675,8866,385,0,500,8944.271,8321.658,214,in
M7m7,0,0,0,0,0,0,0,5550,8954,200,500,0,8746.428,7905.694,192,in
M7m7b,0,3,1,0,0,0,0,5675,8618,385,0,500,8944.271,8321.658,214,in
M7m8,0,16,36,3,16,7,0,6189,8714,210,0,0,7632.169,7106.335,315,in
M7m9,0,1,1,4,10,0,0,5941,8781,314,500,1000,6800.735,6363.961,806,in
M7n0,0,0,0,1,0,0,0,6053,8588,495,1500,0,6020.797,5700.877,753,in
M7n1,0,1,2,0,0,1,0,6210,8913,347,0,500,5000,4924.429,696,in
M8m7,0,3,0,2,0,1,0,6450,8800,232,0,0,7615.773,6946.222,321,in
M8m7b,0,0,0,1,0,1,0,6329,8618,287,500,500,8732.125,8062.258,248,in
M8m7c,0,37,8,2,0,3,2,6637,8470,204,0,0,7433.034,6708.204,536,in
M8m8,0,1,0,4,0,0,0,6797,8800,383,500,500,6708.204,6103.278,777,in
M8m9b,0,5,0,0,0,2,0,6695,8643,404,500,500,5830.952,5315.073,790,in
M8n0,0,23,2,20,1,1,0,6714,8642,392,707.1068,500,5408.327,4949.748,780,in
M8n1,0,8,2,0,0,3,3,6214,8913,310,0,500,4609.772,4472.136,717,in
M9m6,0,0,0,1,0,0,0,6782,8707,324,0,1414.214,8860.022,8077.747,314,in
M9m7,0,2,5,1,0,2,0,6660,8473,263,0,1000,8381.527,7615.773,352,in
M9m8,0,0,0,0,0,0,0,6657,8470,211,0,0,6964.194,6264.982,536,in
M9m9,0,1,0,0,0,0,0,7198,8643,338,0,0,5590.17,5000,830,in
M9n0,0,0,0,0,0,1,0,6926,8643,367,0,0,4924.429,4301.163,985,in
M9n1,0,0,0,0,0,0,0,6457,8757,358,500,0,4031.129,3535.534,854,in
N0m5,0,0,0,0,0,0,0,5546,8819,342,500,2500,9552.486,8631.338,212,in
N0m5b,0,1,0,0,0,0,0,3666,9018,325,0,2692.583,9708.244,9124.144,184,in
N0m7,0,0,0,0,0,0,0,6544,8710,279,0,1118.034,7648.529,6800.735,343,in
N0m7b,0,0,0,0,0,0,0,6619,8823,283,0,1581.139,8062.258,7158.911,305,in
N0m7c,0,4,1,0,2,0,0,6168,8710,340,500,1000,7516.648,6576.473,283,in
N0m9,0,4,2,0,0,0,1,6920,8679,239,707.1068,1000,5700.877,4924.429,1230,in
N0m9b,0,0,0,0,0,0,0,6936,8679,243,500,1000,6184.658,5385.165,490,in
N1m4,0,0,0,0,0,0,0,2767,9018,431,707.1068,2500,9013.878,9433.981,147,in
N1m5,0,0,0,0,1,0,0,4506,9069,553,707.1068,2061.553,9513.148,8558.621,191,in
N1m5b,0,0,0,0,0,0,0,3176,8820,391,1000,1802.776,9178.78,8746.428,134,in
N1m6,0,0,1,0,0,0,0,6046,8751,200,0,1414.214,8514.693,7566.373,241,in
N1m9,0,10,2,1,0,0,0,6474,8925,318,500,1000,6000,5024.938,239,in
N1m9b,0,0,0,0,0,0,0,6375,8925,325,0,500,5522.681,4500,207,in
N1n0,0,1,1,1,0,0,0,6199,8698,292,707.1068,0,4000,3041.381,820,in
N1n0b,0,1,1,0,0,0,1,6878,8916,356,0,1118.034,5024.938,4123.105,746,in
N2m6,0,0,0,0,0,0,0,5350,9005,371,0,707.1068,8514.693,7500,159,in
N2m9,0,1,0,0,0,1,0,6405,8925,359,0,500,6020.797,5000,202,in
N2m9b,0,1,1,6,0,0,0,6345,8925,290,500,0,5590.17,4527.692,672,in
N2n0,0,0,0,0,0,1,0,6524,8753,375,1118.034,0,4031.129,3000,795,in
N3m8,0,0,0,0,0,0,0,5515,8745,223,1000,1000,6800.735,5590.17,198,in
N3n1,0,0,0,0,0,0,0,7129,8912,269,0,1414.214,4031.129,2915.476,760,in
N3n1b,0,0,0,0,0,0,0,6973,8912,383,0,1118.034,4472.136,3354.102,714,in
N4n1,0,0,0,0,0,0,0,6969,8912,235,0,1802.776,4301.163,3201.562,760,in
N4n1b,1,2,0,0,0,0,0,6653,8800,393,500,2236.068,4609.772,3535.534,747,in
N4n2,0,8,0,1,0,0,0,6827,8524,391,500,2000,3905.125,2915.476,803,in
N4n5,3,3,1,1,0,0,0,5829,8706,371,500,0,2500,2236.068,1182,out
