sites,LIC,MPC,LC,YTM,CRP,HB,CFB,NDVI1,NDVI7,Rough,River,Road,Resd,Crop,HFI,group
M5m9,0,0,0,0,0,0,0,6015,8687,146,500,1000,7810.25,5385.165,740,in
M5m9b,0,0,0,1,64,0,0,6756,8518,190,500,1414.214,8514.693,5147.815,563,in
M5n0,0,0,29,16,59,6,0,6015,8627,146,500,1000,7810.25,5385.165,740,in
M5n1,0,0,0,0,1,0,0,6462,8588,397,1000,500,6519.203,5408.327,870,in
M6m7,0,0,0,0,0,0,0,5620,8937,222,1000,0,8602.325,7211.103,736,in
M6m8,0,1,2,0,7,0,0,5735,8860,308,0,500,7500,7071.068,805,in
M6m9,0,0,17,1,21,0,0,5954,8588,305,707.1068,1000,7071.068,6324.555,723,in
M6m9c,0,0,8,3,18,1,0,5954,8588,305,707.1068,1000,7071.068,6324.555,723,in
M6n0,0,0,0,0,0,0,0,5830,8687,413,1118.034,500,6726.812,6184.658,688,in
M6n1,0,0,5,1,13,0,0,6233,8291,383,1414.214,0,6800.735,5590.17,1031,in
M7m6,0,2,1,0,0,0,0,5675,8866,385,0,500,8944.271,8321.658,214,in
M7m7,0,0,0,0,0,0,0,5550,8954,200,500,0,8746.428,7905.694,192,in
M7m7b,0,3,1,0,0,0,0,5675,8618,385,0,500,8944.271,8321.658,214,in
M7m8,0,16,36,3,16,7,0,6189,8714,210,0,0,7632.169,7106.335,315,in
M7m9,0,1,1,4,10,0,0,5941,8781,314,500,1000,6800.735,6363.961,806,in
M7n0,0,0,0,1,0,0,0,6053,8588,495,1500,0,6020.797,5700.877,753,in
M7n1,0,1,2,0,0,1,0,6210,8913,347,0,500,5000,4924.429,696,in
M7n6,0,10,0,1,0,0,0,6276,9056,269,0,0,3640.055,2915.476,725,in
M8m7,0,3,0,2,0,1,0,6450,8800,232,0,0,7615.773,6946.222,321,in
M8m7b,0,0,0,1,0,1,0,6329,8618,287,500,500,8732.125,8062.258,248,in
M8m7c,0,37,8,2,0,3,2,6637,8470,204,0,0,7433.034,6708.204,536,in
M8m8,0,1,0,4,0,0,0,6797,8800,383,500,500,6708.204,6103.278,777,in
M8m9b,0,5,0,0,0,2,0,6695,8643,404,500,500,5830.952,5315.073,790,in
M8n0,0,23,2,20,1,1,0,6714,8642,392,707.1068,500,5408.327,4949.748,780,in
M8n1,0,8,2,0,0,3,3,6214,8913,310,0,500,4609.772,4472.136,717,in
M8n2,0,7,1,0,0,1,4,6383,8657,315,0,500,4242.641,4031.129,765,in
M8n3,0,11,1,1,0,0,7,6363,8693,253,1000,500,3354.102,3535.534,832,in
M8n4,0,2,9,0,0,2,7,6232,8680,314,0,0,3000,3640.055,854,in
M8n5,1,2,2,0,0,0,0,6410,8563,230,0,500,3041.381,3605.551,833,in
M9m6,0,0,0,1,0,0,0,6782,8707,324,0,1414.214,8860.022,8077.747,314,in
M9m7,0,2,5,1,0,2,0,6660,8473,263,0,1000,8381.527,7615.773,352,in
M9m9,0,1,0,0,0,0,0,7198,8643,338,0,0,5590.17,5000,830,in
M9n0,0,0,0,0,0,1,0,6926,8643,367,0,0,4924.429,4301.163,985,in
M9n1,0,0,0,0,0,0,0,6457,8757,358,500,0,4031.129,3535.534,854,in
M9n2,0,1,0,0,0,0,0,6347,8566,424,0,0,3201.562,2915.476,908,out
M9n3,1,7,3,0,0,3,14,6211,8173,305,0,0,2121.32,2061.553,1383,out
M9n38,0,22,3,0,0,0,1,6228,8566,281,0,0,2500,2236.068,1108,out
M9n4,1,3,1,0,0,0,1,6717,8833,327,0,500,2549.51,3041.381,1115,out
M9n45,0,0,1,0,0,0,0,6777,8693,314,0,0,2061.553,2549.51,1147,out
M9n5,0,3,1,0,0,19,0,6360,8433,178,500,1000,2236.068,3201.562,817,out
N0m5,0,0,0,0,0,0,0,5546,8819,342,500,2500,9552.486,8631.338,212,in
N0m5b,0,1,0,0,0,0,0,3666,9018,325,0,2692.583,9708.244,9124.144,184,in
N0m7,0,0,0,0,0,0,0,6544,8710,279,0,1118.034,7648.529,6800.735,343,in
N0m7c,0,4,1,0,2,0,0,6168,8710,340,500,1000,7516.648,6576.473,283,in
N0m9,0,4,2,0,0,0,1,6920,8679,239,707.1068,1000,5700.877,4924.429,1230,in
N0n0,74,7,7,14,0,1,0,6926,8584,277,0,500,4743.417,4031.129,1254,in
N0n1,0,1,3,0,0,2,3,6334,8649,265,707.1068,500,3041.381,2236.068,1020,out
N0n11,4,19,15,4,0,27,8,6392,8649,327,0,0,3807.886,3201.562,1281,out
N0n14,1,7,4,0,0,27,20,6129,8649,195,500,500,3162.278,2500,1350,out
N0n2,2,2,0,4,0,0,0,6334,8649,265,707.1068,500,3041.381,2236.068,1020,out
N0n2b,0,2,9,2,0,0,10,5995,8649,183,0,0,2692.583,2121.32,1399,out
N0n2c,34,19,19,7,0,7,1,5995,8649,183,0,0,2692.583,2121.32,1399,out
N0n2d,1,1,0,0,0,0,0,5995,8649,183,0,0,2692.583,2121.32,1399,out
N0n2e,16,12,24,1,0,14,14,5995,8368,183,0,0,2692.583,2121.32,1399,out
N0n2f,0,2,0,1,0,1,0,5995,8649,183,0,0,2692.583,2121.32,1399,out
N0n37,1,27,5,1,0,23,32,5835,8089,172,0,0,2236.068,1802.776,1429,out
N0n48,4,22,10,0,0,11,0,6056,8173,308,0,0,1414.214,1500,1438,out
N0n5,34,2,18,1,0,9,0,6462,8716,304,500,0,1000,1802.776,985,out
N0n57,18,1,8,0,0,8,0,5964,8580,376,500,500,707.1068,1802.776,1409,out
