species,x,y
civet,301633.9,3230096
civet,303165,3228319
civet,302464.1,3229324
civet,303513.6,3225352
civet,303403.3,3226357
civet,303775.8,3226528
civet,304154.4,3226715
civet,303965.8,3227025
civet,303979.3,3227008
civet,303699.7,3227167
civet,303853.8,3227814
civet,303938.3,3228785
civet,304029.7,3229931
civet,304079.8,3230281
civet,304111.3,3230889
civet,304406.3,3226842
civet,305046.4,3227222
civet,304750.8,3227066
civet,304652,3228367
civet,304821.6,3228015
civet,304539.2,3229393
civet,304610.9,3229053
civet,304662.5,3230553
civet,304929.8,3230933
civet,305835.4,3228526
civet,305425,3229237
civet,305793.5,3229238
civet,305453.4,3230094
civet,305833.3,3230290
civet,305930.4,3229834
civet,305642.6,3232225
civet,306530.1,3228449
civet,306816.6,3229109
civet,307083.1,3230024
civet,306595.6,3230456
civet,306854.3,3230170
civet,306341.1,3231642
civet,307662.8,3226040
civet,307990.4,3227993
civet,307905.9,3229447
civet,307377.5,3229588
civet,307367.9,3230330
civet,308078.2,3230038
civet,307972.9,3229849
civet,307955.3,3231159
civet,308047.5,3230697
civet,307806.6,3231687
civet,308431.2,3229183
civet,308495.4,3231317
civet,308899.3,3231691
civet,308315.1,3231686
civet,310620.6,3228536
