species,x,y
LC,298588.3,3224878
LC,300086,3223525
LC,299866.4,3224659
LC,299866.8,3224658
LC,299409.5,3225801
LC,301015.4,3221486
LC,300873.4,3221812
LC,300581.1,3223207
LC,300761.3,3224094
LC,300832.6,3226483
LC,302063.2,3222691
LC,301767.4,3225074
LC,301400.4,3226654
LC,301572.4,3226717
LC,301814.5,3228231
LC,301820.2,3229612
LC,301633.9,3230096
LC,302419,3221708
LC,303165,3228319
LC,303168.3,3227726
LC,302464.1,3229324
LC,302649.5,3229071
LC,302847.9,3230589
LC,304048.8,3222353
LC,303319.8,3224194
LC,303513.6,3225352
LC,304078.8,3226642
LC,303403.3,3226357
LC,303775.8,3226528
LC,303754.4,3227013
LC,303965.8,3227025
LC,303699.7,3227167
LC,303853.8,3227814
LC,303938.3,3228785
LC,304029.7,3229931
LC,304079.8,3230281
LC,304111.3,3230889
LC,304159.7,3221350
LC,304891.8,3223847
LC,304879.4,3225514
LC,304388.4,3224735
LC,304427.5,3227507
LC,305046.4,3227222
LC,304652,3228367
LC,304660.8,3227663
LC,304821.6,3228015
LC,304539.2,3229393
LC,304610.9,3229053
LC,304662.5,3230553
LC,305174.5,3230281
LC,304682.6,3230812
LC,305899.7,3224400
LC,305835.4,3228526
LC,306173.3,3228659
LC,305425,3229237
LC,305793.5,3229238
LC,305716.1,3230641
LC,305388.4,3231258
LC,305642.6,3232225
LC,306816.6,3229109
LC,307083.1,3230024
LC,306595.6,3230456
LC,306854.3,3230170
LC,306341.1,3231642
LC,307990.4,3227993
LC,307905.9,3229447
LC,307803.7,3228714
LC,307377.5,3229588
LC,307367.9,3230330
LC,308078.2,3230038
LC,307972.9,3229849
LC,307955.3,3231159
LC,307806.6,3231687
LC,308495.4,3231317
LC,308899.3,3231691
LC,308315.1,3231686
LC,310255.4,3228516
